res_expno,res_lbl_score,res_tst_score
0,0.82014,0.82156
1,0.78882,0.80212
2,0.81129,0.78784
3,0.83625,0.81206
4,0.80936,0.83501
5,0.78522,0.82336
6,0.82058,0.83055
7,0.77839,0.81857
8,0.80552,0.80984
9,0.84205,0.78315
10,0.81713,0.8132
11,0.8357,0.82125
12,0.78931,0.80426
13,0.78578,0.80595
14,0.79057,0.84479
15,0.78683,0.82178
16,0.82576,0.8399
17,0.77325,0.80811
18,0.77432,0.81405
19,0.79212,0.85134
20,0.82734,0.81887
21,0.84751,0.79794
22,0.81328,0.79772
23,0.81602,0.81301
24,0.77451,0.82651
25,0.82025,0.8062
26,0.80379,0.80042
27,0.82399,0.82686
28,0.79683,0.81692
29,0.79132,0.79469
30,0.81195,0.79032
31,0.81388,0.8228
32,0.82309,0.84066
33,0.79153,0.80822
34,0.79465,0.78471
35,0.80002,0.81384
36,0.81227,0.77604
37,0.79411,0.84614
38,0.8141,0.83904
39,0.77865,0.81529
40,0.7944,0.8134
41,0.77886,0.80227
42,0.80847,0.84727
43,0.7909,0.81417
44,0.81255,0.79189
45,0.78701,0.80207
46,0.82531,0.84495
47,0.8248,0.82496
48,0.81744,0.81983
49,0.77417,0.82308
50,0.76773,0.81514
51,0.78932,0.84544
52,0.79049,0.82777
53,0.79529,0.78244
54,0.79569,0.84125
55,0.78181,0.82318
56,0.76165,0.86096
57,0.78738,0.79798
58,0.79631,0.8541
59,0.78432,0.80554
60,0.79703,0.81308
61,0.81207,0.77137
62,0.8163,0.83306
63,0.81315,0.80249
64,0.78098,0.81187
65,0.78732,0.85018
66,0.83368,0.76416
67,0.83063,0.82084
68,0.81655,0.81778
69,0.80116,0.84296
70,0.81239,0.8545
71,0.78578,0.78255
72,0.81666,0.83147
73,0.77688,0.81827
74,0.82537,0.82678
75,0.84671,0.80376
76,0.81177,0.81511
77,0.7793,0.81432
78,0.7845,0.80557
79,0.81125,0.79689
80,0.79703,0.80618
81,0.82509,0.82288
82,0.80928,0.8414
83,0.78741,0.81067
84,0.80616,0.85144
85,0.80874,0.82815
86,0.77952,0.83009
87,0.81038,0.80195
88,0.78784,0.80241
89,0.80253,0.8186
90,0.78494,0.82846
91,0.79562,0.84802
92,0.82939,0.82525
93,0.82879,0.80172
94,0.84253,0.80738
95,0.82175,0.77561
96,0.8197,0.83737
97,0.79914,0.79925
98,0.80166,0.80171
99,0.83217,0.80494
100,0.83811,0.82277
101,0.75901,0.83806
102,0.81549,0.82867
103,0.81397,0.83898
104,0.76737,0.84561
105,0.81805,0.80841
106,0.80652,0.83589
107,0.8233,0.80462
108,0.83072,0.76648
109,0.78148,0.82361
110,0.81467,0.77646
111,0.7894,0.78135
112,0.79505,0.80217
113,0.81042,0.82446
114,0.76077,0.8232
115,0.80061,0.80464
116,0.80787,0.838
117,0.78786,0.81755
118,0.81837,0.82341
119,0.82647,0.82435
120,0.79782,0.81062
121,0.82942,0.83737
122,0.80736,0.82205
123,0.82474,0.82603
124,0.79089,0.80766
125,0.81341,0.82992
126,0.80936,0.83708
127,0.79526,0.80353
128,0.77938,0.82533
129,0.78298,0.8212
130,0.78549,0.81552
131,0.78081,0.82825
132,0.8033,0.78482
133,0.81108,0.82853
134,0.8269,0.84275
135,0.80301,0.82322
136,0.83212,0.79052
137,0.82142,0.81775
138,0.8187,0.82302
139,0.81256,0.83875
140,0.80693,0.82977
141,0.80773,0.79473
142,0.82893,0.82726
143,0.81307,0.78384
144,0.77724,0.83882
145,0.7859,0.80217
146,0.79638,0.77001
147,0.77576,0.85149
148,0.82214,0.82389
149,0.78626,0.81645
