res_expno,res_lbl_score,res_tst_score
0,0.88464,0.86657
1,0.89083,0.77769
2,0.87666,0.93405
3,0.90874,0.87543
4,0.8254,0.87834
5,0.92279,0.85712
6,0.86084,0.78886
7,0.89499,0.87047
8,0.94453,0.79857
9,0.86324,0.90603
10,0.87231,0.84767
11,0.89164,0.85944
12,0.8951,0.86704
13,0.89689,0.79765
14,0.94059,0.85025
15,0.91379,0.82686
16,0.93486,0.86757
17,0.92142,0.85065
18,0.90525,0.88713
19,0.88971,0.85937
20,0.9506,0.78099
21,0.86592,0.87939
22,0.90195,0.84715
23,0.91284,0.86162
24,0.90821,0.86076
25,0.91709,0.80796
26,0.91943,0.86116
27,0.89201,0.85217
28,0.92406,0.84913
29,0.90643,0.84153
30,0.88105,0.86842
31,0.84479,0.87986
32,0.89178,0.83505
33,0.8775,0.85124
34,0.91821,0.85237
35,0.92196,0.78549
36,0.90086,0.88144
37,0.88072,0.88812
38,0.88758,0.83604
39,0.90644,0.82719
40,0.89535,0.82395
41,0.89061,0.84748
42,0.87259,0.84272
43,0.91153,0.86208
44,0.8304,0.89981
45,0.8755,0.89195
46,0.83505,0.87378
47,0.85425,0.8864
48,0.94511,0.86268
49,0.91322,0.88428
50,0.89799,0.83644
51,0.83389,0.8063
52,0.92438,0.84913
53,0.95102,0.82805
54,0.97958,0.80452
55,0.89685,0.88594
56,0.8985,0.79824
57,0.91762,0.85904
58,0.93621,0.82223
59,0.93319,0.79633
60,0.94286,0.864
61,0.89377,0.90424
62,0.85967,0.8977
63,0.88085,0.85851
64,0.87963,0.871
65,0.90289,0.89426
66,0.91694,0.81516
67,0.93617,0.77591
68,0.91508,0.8519
69,0.92671,0.83829
70,0.92962,0.81833
71,0.90323,0.87074
72,0.92327,0.88805
73,0.89086,0.83492
74,0.94787,0.86023
75,0.90332,0.85111
76,0.89192,0.8336
77,0.8967,0.87953
78,0.86664,0.86076
79,0.88796,0.89321
80,0.87452,0.81338
81,0.91079,0.84437
82,0.87437,0.8983
83,0.89596,0.9094
84,0.89843,0.87543
85,0.9358,0.86096
86,0.86685,0.86234
87,0.91744,0.88904
88,0.93607,0.82283
89,0.91988,0.87986
90,0.91126,0.85184
91,0.8838,0.85435
92,0.85427,0.87873
93,0.84793,0.77921
94,0.87559,0.8562
95,0.89122,0.84569
96,0.87325,0.79216
97,0.89767,0.83869
98,0.85885,0.87827
99,0.87395,0.93927
100,0.9234,0.88343
101,0.95854,0.84728
102,0.8275,0.88865
103,0.89756,0.89856
104,0.92447,0.84325
105,0.90864,0.85547
106,0.90507,0.88614
107,0.93378,0.79236
108,0.91427,0.85977
109,0.90582,0.85488
110,0.89675,0.87365
111,0.86365,0.84985
112,0.91044,0.80485
113,0.94705,0.8747
114,0.92714,0.89618
115,0.94297,0.92506
116,0.89704,0.82342
117,0.87581,0.84985
118,0.84257,0.84794
119,0.93242,0.83267
120,0.91697,0.83188
121,0.8717,0.81523
122,0.85366,0.85964
123,0.88816,0.87986
124,0.88661,0.87008
125,0.91751,0.86149
126,0.89073,0.87199
127,0.90616,0.9092
128,0.88171,0.91508
129,0.84596,0.8593
130,0.87852,0.90728
131,0.85184,0.89724
132,0.9245,0.75562
133,0.91976,0.80657
134,0.95099,0.83393
135,0.9105,0.85468
136,0.86706,0.85408
137,0.83101,0.91468
138,0.91435,0.81067
139,0.89405,0.89446
140,0.9216,0.78496
141,0.90583,0.85838
142,0.88312,0.84906
143,0.92251,0.87087
144,0.88624,0.89182
145,0.92485,0.841
146,0.87886,0.88296
147,0.92576,0.92255
148,0.84723,0.83836
149,0.87447,0.89162
