res_expno,res_lbl_score,res_tst_score
0,0.98318,0.76419
1,0.97772,0.78503
2,0.98251,0.69597
3,0.97416,0.7607
4,0.97944,0.72636
5,0.97402,0.81427
6,0.98972,0.76356
7,0.97783,0.70461
8,0.97703,0.74674
9,0.96717,0.78051
10,0.97742,0.78995
11,0.98236,0.75933
12,0.9754,0.74073
13,0.9898,0.76379
14,0.98231,0.75492
15,0.98651,0.76116
16,0.98315,0.7472
17,0.98114,0.73088
18,0.9784,0.71177
19,0.98007,0.74582
20,0.9855,0.75435
21,0.97909,0.63954
22,0.97776,0.77776
23,0.98556,0.71366
24,0.98323,0.7433
25,0.98541,0.76076
26,0.9822,0.7856
27,0.983,0.73701
28,0.97437,0.78972
29,0.9792,0.73878
30,0.98051,0.76379
31,0.98731,0.72356
32,0.99038,0.7255
33,0.98337,0.69505
34,0.99027,0.77141
35,0.96881,0.7761
36,0.97655,0.72705
37,0.97897,0.79298
38,0.96739,0.76431
39,0.97538,0.78898
40,0.97788,0.74113
41,0.97888,0.73563
42,0.98344,0.74554
43,0.98566,0.75767
44,0.98653,0.71783
45,0.98579,0.74199
46,0.98836,0.74582
47,0.98304,0.73958
48,0.98335,0.75693
49,0.98316,0.73357
50,0.98323,0.73947
51,0.98356,0.79865
52,0.98203,0.78348
53,0.98425,0.7492
54,0.96747,0.74307
55,0.98261,0.74279
56,0.98842,0.75962
57,0.98834,0.74273
58,0.98394,0.75624
59,0.97273,0.76643
60,0.98692,0.71016
61,0.97524,0.75321
62,0.97127,0.77427
63,0.9825,0.7678
64,0.97976,0.74828
65,0.98074,0.72161
66,0.98006,0.79756
67,0.98211,0.76448
68,0.97815,0.7563
69,0.97786,0.78177
70,0.97551,0.74365
71,0.9761,0.7156
72,0.96721,0.77272
73,0.97351,0.73283
74,0.98639,0.72121
75,0.9863,0.73312
76,0.98089,0.7346
77,0.97815,0.77764
78,0.98767,0.71245
79,0.98319,0.72258
80,0.96648,0.72734
81,0.98637,0.76168
82,0.98517,0.69872
83,0.98475,0.65299
84,0.97986,0.77936
85,0.97758,0.76923
86,0.9804,0.74525
87,0.98392,0.73695
88,0.97921,0.73409
89,0.98842,0.72224
90,0.96504,0.72384
91,0.98782,0.72064
92,0.97713,0.75847
93,0.98647,0.72756
94,0.9835,0.71944
95,0.98531,0.74227
96,0.9817,0.80397
97,0.98854,0.79127
98,0.98817,0.72144
99,0.97926,0.72573
100,0.97685,0.73168
101,0.98892,0.69958
102,0.98224,0.72848
103,0.9862,0.76849
104,0.9796,0.72997
105,0.97793,0.70181
106,0.98772,0.71228
107,0.9819,0.73586
108,0.97899,0.76751
109,0.9807,0.75956
110,0.98599,0.75011
111,0.98188,0.72545
112,0.97046,0.74857
113,0.98357,0.76969
114,0.97591,0.68075
115,0.98159,0.71829
116,0.97895,0.7508
117,0.97455,0.74422
118,0.98104,0.74456
119,0.98651,0.73071
120,0.97704,0.76065
121,0.97037,0.76677
122,0.9692,0.75269
123,0.97912,0.76019
124,0.9898,0.73872
125,0.98491,0.66443
126,0.97416,0.73787
127,0.98069,0.76923
128,0.98345,0.72293
129,0.96472,0.67508
130,0.98179,0.75967
131,0.98479,0.70805
132,0.97837,0.77204
133,0.98428,0.71675
134,0.98001,0.76986
135,0.966,0.7421
136,0.98709,0.73478
137,0.98473,0.80317
138,0.97579,0.73409
139,0.97994,0.77152
140,0.98182,0.72997
141,0.97787,0.79968
142,0.98988,0.75853
143,0.98764,0.70879
144,0.99038,0.73226
145,0.9813,0.76431
146,0.98098,0.74239
147,0.97304,0.7884
148,0.97681,0.7255
149,0.97592,0.78938
