res_expno,res_lbl_score,res_tst_score
0,0.96837,0.80638
1,0.97547,0.80512
2,0.98123,0.7263
3,0.96931,0.75979
4,0.95488,0.73352
5,0.97355,0.84175
6,0.97198,0.769
7,0.96475,0.7682
8,0.97557,0.76711
9,0.98291,0.74576
10,0.93206,0.7927
11,0.98723,0.75258
12,0.9594,0.79636
13,0.95419,0.75847
14,0.97436,0.77198
15,0.97281,0.77329
16,0.97939,0.78331
17,0.94319,0.79493
18,0.9617,0.69517
19,0.97391,0.78096
20,0.95267,0.72613
21,0.95751,0.65928
22,0.981,0.79001
23,0.94753,0.6634
24,0.97499,0.76666
25,0.97583,0.76688
26,0.96364,0.79367
27,0.97994,0.71675
28,0.96178,0.81141
29,0.96792,0.72945
30,0.97747,0.77633
31,0.96152,0.77192
32,0.95742,0.7421
33,0.98282,0.70433
34,0.96548,0.77993
35,0.96967,0.78526
36,0.96741,0.77965
37,0.97567,0.82257
38,0.93977,0.75126
39,0.94066,0.79201
40,0.94188,0.69998
41,0.95314,0.76751
42,0.93914,0.80019
43,0.96956,0.74233
44,0.96857,0.77055
45,0.98118,0.71743
46,0.9769,0.74382
47,0.95835,0.74966
48,0.96301,0.79928
49,0.98059,0.76425
50,0.94568,0.75944
51,0.96968,0.80964
52,0.94058,0.78903
53,0.9749,0.79195
54,0.94195,0.7508
55,0.93848,0.78663
56,0.9828,0.80603
57,0.93998,0.62929
58,0.97913,0.77982
59,0.97144,0.78228
60,0.9461,0.73254
61,0.96932,0.73615
62,0.9562,0.78474
63,0.96642,0.7741
64,0.97734,0.73294
65,0.97108,0.75527
66,0.9625,0.75315
67,0.97598,0.7686
68,0.95933,0.78154
69,0.95668,0.76986
70,0.98167,0.76047
71,0.98548,0.75784
72,0.93305,0.77043
73,0.93755,0.76168
74,0.97992,0.7152
75,0.97329,0.75103
76,0.95237,0.80929
77,0.95568,0.78022
78,0.97391,0.72831
79,0.94867,0.71967
80,0.95154,0.77925
81,0.95044,0.7338
82,0.96673,0.73363
83,0.98217,0.73128
84,0.97112,0.75693
85,0.97229,0.80941
86,0.96753,0.77804
87,0.96191,0.73827
88,0.98242,0.75549
89,0.97368,0.77473
90,0.94495,0.75721
91,0.96847,0.73432
92,0.9627,0.73695
93,0.9554,0.78262
94,0.95438,0.72339
95,0.97583,0.70873
96,0.96891,0.79865
97,0.9647,0.82103
98,0.98148,0.71652
99,0.95895,0.7682
100,0.95885,0.74525
101,0.96699,0.71085
102,0.97476,0.7769
103,0.97985,0.77352
104,0.97919,0.73363
105,0.95485,0.7413
106,0.95628,0.7057
107,0.95064,0.73432
108,0.96289,0.78669
109,0.94085,0.77867
110,0.96584,0.79785
111,0.96487,0.71308
112,0.9624,0.74153
113,0.9537,0.73615
114,0.98399,0.74319
115,0.96773,0.77152
116,0.96284,0.7662
117,0.97926,0.7662
118,0.97638,0.78073
119,0.98567,0.78806
120,0.96621,0.70885
121,0.96379,0.75813
122,0.95738,0.77101
123,0.95861,0.73191
124,0.96751,0.71589
125,0.97045,0.67846
126,0.96642,0.71211
127,0.96101,0.7745
128,0.95786,0.74319
129,0.96805,0.72917
130,0.941,0.68601
131,0.9746,0.7583
132,0.96166,0.75979
133,0.97535,0.7251
134,0.98052,0.82904
135,0.93979,0.73146
136,0.98072,0.78096
137,0.97219,0.8331
138,0.9765,0.77644
139,0.97883,0.75996
140,0.94235,0.69431
141,0.96734,0.81874
142,0.92292,0.71761
143,0.97377,0.76019
144,0.97189,0.75818
145,0.95812,0.79682
146,0.96743,0.77301
147,0.98181,0.79825
148,0.96761,0.73701
149,0.93666,0.75252
