res_expno,res_lbl_score,res_tst_score
0,0.99038,0.81645
1,0.99038,0.78812
2,0.99038,0.71303
3,0.99038,0.77129
4,0.99038,0.74926
5,0.99038,0.83259
6,0.99038,0.79785
7,0.99038,0.7797
8,0.99038,0.75149
9,0.99038,0.76345
10,0.99038,0.80867
11,0.99038,0.74245
12,0.99038,0.81158
13,0.99038,0.81221
14,0.99038,0.72802
15,0.99038,0.79504
16,0.99038,0.77621
17,0.99038,0.77501
18,0.99038,0.75538
19,0.99038,0.78131
20,0.99038,0.80975
21,0.99038,0.70141
22,0.99038,0.78217
23,0.99038,0.72533
24,0.99038,0.77318
25,0.99038,0.75515
26,0.99038,0.82131
27,0.99038,0.70988
28,0.99038,0.82458
29,0.99038,0.73323
30,0.99038,0.78102
31,0.99038,0.76397
32,0.99038,0.75149
33,0.99038,0.7053
34,0.99038,0.77318
35,0.99038,0.80386
36,0.99038,0.78251
37,0.99038,0.82709
38,0.99038,0.75406
39,0.99038,0.80804
40,0.99038,0.78594
41,0.99038,0.76826
42,0.99038,0.79945
43,0.99038,0.70942
44,0.99038,0.77656
45,0.99038,0.72253
46,0.99038,0.71406
47,0.99038,0.77129
48,0.99038,0.80992
49,0.99038,0.75681
50,0.99038,0.74966
51,0.99038,0.81862
52,0.99038,0.79991
53,0.99038,0.81221
54,0.99038,0.77095
55,0.99038,0.77152
56,0.99038,0.79144
57,0.99038,0.6582
58,0.99038,0.79607
59,0.99038,0.801
60,0.99038,0.76763
61,0.99038,0.76259
62,0.99038,0.77948
63,0.99038,0.7702
64,0.99038,0.73495
65,0.99038,0.76517
66,0.99038,0.75429
67,0.99038,0.74891
68,0.99038,0.76402
69,0.99038,0.76293
70,0.99038,0.77644
71,0.99038,0.7441
72,0.99038,0.78222
73,0.99038,0.77381
74,0.99038,0.70782
75,0.99038,0.74273
76,0.99038,0.76454
77,0.99038,0.76225
78,0.99038,0.70501
79,0.99038,0.71806
80,0.99038,0.77244
81,0.99038,0.76648
82,0.99038,0.74651
83,0.99038,0.7215
84,0.99038,0.77089
85,0.99038,0.77473
86,0.99038,0.78846
87,0.99038,0.76826
88,0.99038,0.76259
89,0.99038,0.76603
90,0.99038,0.70879
91,0.99038,0.71457
92,0.99038,0.73455
93,0.99038,0.77278
94,0.99038,0.74038
95,0.99038,0.72745
96,0.99038,0.79699
97,0.99038,0.79172
98,0.99038,0.72218
99,0.99038,0.78182
100,0.99038,0.73867
101,0.99038,0.73106
102,0.99038,0.78016
103,0.99038,0.76116
104,0.99038,0.733
105,0.99038,0.77141
106,0.99038,0.71514
107,0.99038,0.74702
108,0.99038,0.76316
109,0.99038,0.78291
110,0.99038,0.78898
111,0.99038,0.75097
112,0.99038,0.73397
113,0.99038,0.7203
114,0.99038,0.75572
115,0.99038,0.75818
116,0.99038,0.79132
117,0.99038,0.7698
118,0.99038,0.74691
119,0.99038,0.75223
120,0.99038,0.75298
121,0.99038,0.77518
122,0.99038,0.78177
123,0.99038,0.79287
124,0.99038,0.71074
125,0.99038,0.67228
126,0.99038,0.70622
127,0.99038,0.7472
128,0.99038,0.76854
129,0.99038,0.6543
130,0.99038,0.69443
131,0.99038,0.72276
132,0.99038,0.75258
133,0.99038,0.76087
134,0.99038,0.79945
135,0.99038,0.75876
136,0.99038,0.80924
137,0.99038,0.81771
138,0.99038,0.76156
139,0.99038,0.77684
140,0.99038,0.74685
141,0.99038,0.81084
142,0.99038,0.77856
143,0.99038,0.77398
144,0.99038,0.75784
145,0.99038,0.80306
146,0.99038,0.73506
147,0.99038,0.77026
148,0.99038,0.74038
149,0.99038,0.77839
