res_expno,res_lbl_score,res_tst_score
0,0.97963,0.74147
1,0.97276,0.76883
2,0.97442,0.67995
3,0.9616,0.72293
4,0.96818,0.74794
5,0.95344,0.79321
6,0.98498,0.76877
7,0.97866,0.71823
8,0.97045,0.7595
9,0.95198,0.74554
10,0.97974,0.79791
11,0.98244,0.77295
12,0.96663,0.73976
13,0.97367,0.75481
14,0.97314,0.75807
15,0.98287,0.76734
16,0.97316,0.74164
17,0.97797,0.72304
18,0.96427,0.72505
19,0.97842,0.72407
20,0.9724,0.7476
21,0.97527,0.63805
22,0.9819,0.77146
23,0.97972,0.70101
24,0.98162,0.7156
25,0.98061,0.71423
26,0.981,0.75761
27,0.97669,0.72608
28,0.97309,0.76946
29,0.97445,0.7334
30,0.96565,0.75996
31,0.9813,0.71932
32,0.98886,0.72768
33,0.97691,0.70141
34,0.9872,0.74514
35,0.96748,0.76105
36,0.97566,0.7168
37,0.97161,0.80168
38,0.96604,0.77375
39,0.95933,0.74811
40,0.97416,0.74531
41,0.96989,0.71795
42,0.97895,0.74176
43,0.97658,0.77484
44,0.98261,0.67748
45,0.98109,0.73861
46,0.9858,0.72155
47,0.97522,0.72041
48,0.96473,0.71308
49,0.96399,0.71623
50,0.98,0.74565
51,0.9818,0.79836
52,0.97261,0.77375
53,0.97083,0.7298
54,0.95393,0.76574
55,0.96296,0.75475
56,0.97828,0.75595
57,0.97536,0.73718
58,0.97972,0.77381
59,0.96995,0.74674
60,0.98476,0.70478
61,0.9741,0.76185
62,0.97003,0.75916
63,0.98199,0.73558
64,0.96543,0.7393
65,0.97955,0.73254
66,0.96409,0.77822
67,0.97565,0.75229
68,0.96148,0.77558
69,0.97698,0.75962
70,0.9665,0.73586
71,0.96338,0.70164
72,0.96994,0.72613
73,0.97643,0.74536
74,0.98799,0.71051
75,0.97664,0.7441
76,0.98212,0.73747
77,0.97833,0.76128
78,0.98668,0.69935
79,0.98163,0.71886
80,0.9737,0.75767
81,0.98356,0.76065
82,0.97826,0.68802
83,0.9829,0.65213
84,0.97441,0.75492
85,0.96754,0.76505
86,0.94966,0.74617
87,0.97952,0.71772
88,0.95785,0.73168
89,0.9892,0.70341
90,0.95067,0.72075
91,0.98709,0.72201
92,0.98256,0.76551
93,0.98043,0.70765
94,0.9801,0.72367
95,0.98425,0.70187
96,0.96775,0.77301
97,0.98288,0.77055
98,0.98836,0.67319
99,0.97426,0.74124
100,0.97381,0.70856
101,0.98681,0.69305
102,0.9704,0.72001
103,0.98124,0.76042
104,0.96882,0.74903
105,0.97929,0.70633
106,0.97889,0.70536
107,0.97071,0.72253
108,0.97524,0.74159
109,0.97889,0.7674
110,0.98434,0.76156
111,0.97997,0.7263
112,0.96813,0.72819
113,0.98424,0.77158
114,0.97476,0.66243
115,0.97638,0.70902
116,0.96553,0.75624
117,0.96123,0.71732
118,0.96757,0.72905
119,0.98543,0.69958
120,0.95887,0.74897
121,0.96921,0.76746
122,0.9642,0.76213
123,0.98177,0.76053
124,0.98404,0.74542
125,0.97993,0.6586
126,0.96129,0.75584
127,0.9739,0.75424
128,0.98107,0.70879
129,0.9543,0.69133
130,0.97709,0.74302
131,0.97556,0.67914
132,0.98193,0.76534
133,0.98494,0.68899
134,0.98033,0.77925
135,0.96931,0.75338
136,0.9726,0.72356
137,0.98596,0.7567
138,0.96583,0.71915
139,0.97051,0.74771
140,0.97849,0.71669
141,0.95432,0.79155
142,0.99028,0.74101
143,0.98643,0.73838
144,0.99038,0.73157
145,0.97911,0.74742
146,0.97729,0.72007
147,0.96002,0.78228
148,0.96745,0.73735
149,0.97452,0.76637
