res_expno,res_lbl_score,res_tst_score
0,0.99038,0.80998
1,0.99038,0.79647
2,0.99038,0.71308
3,0.99038,0.79418
4,0.99038,0.76362
5,0.99038,0.80947
6,0.99038,0.80111
7,0.99038,0.7753
8,0.99038,0.77295
9,0.99038,0.76849
10,0.99038,0.78697
11,0.99038,0.74307
12,0.99038,0.81628
13,0.99038,0.8279
14,0.99038,0.75034
15,0.99038,0.79596
16,0.99038,0.77163
17,0.99038,0.75521
18,0.99038,0.79127
19,0.99038,0.78715
20,0.99038,0.81204
21,0.99038,0.69259
22,0.99038,0.80432
23,0.99038,0.73209
24,0.99038,0.77576
25,0.99038,0.74668
26,0.99038,0.83276
27,0.99038,0.71955
28,0.99038,0.83024
29,0.99038,0.7421
30,0.99038,0.79556
31,0.99038,0.76757
32,0.99038,0.75624
33,0.99038,0.73008
34,0.99038,0.77495
35,0.99038,0.81897
36,0.99038,0.80741
37,0.99038,0.84524
38,0.99038,0.78159
39,0.99038,0.82601
40,0.99038,0.79882
41,0.99038,0.75962
42,0.99038,0.80014
43,0.99038,0.69317
44,0.99038,0.76751
45,0.99038,0.74989
46,0.99038,0.72705
47,0.99038,0.76952
48,0.99038,0.81267
49,0.99038,0.74313
50,0.99038,0.77352
51,0.99038,0.81508
52,0.99038,0.78783
53,0.99038,0.82669
54,0.99038,0.77616
55,0.99038,0.75853
56,0.99038,0.8137
57,0.99038,0.67823
58,0.99038,0.79831
59,0.99038,0.79035
60,0.99038,0.76528
61,0.99038,0.78789
62,0.99038,0.76872
63,0.99038,0.76803
64,0.99038,0.74742
65,0.99038,0.77118
66,0.99038,0.76625
67,0.99038,0.75527
68,0.99038,0.76351
69,0.99038,0.77272
70,0.99038,0.77146
71,0.99038,0.75859
72,0.99038,0.77249
73,0.99038,0.78365
74,0.99038,0.73214
75,0.99038,0.74966
76,0.99038,0.75549
77,0.99038,0.77324
78,0.99038,0.73792
79,0.99038,0.71841
80,0.99038,0.7769
81,0.99038,0.80134
82,0.99038,0.74937
83,0.99038,0.72281
84,0.99038,0.79985
85,0.99038,0.77965
86,0.99038,0.77501
87,0.99038,0.77272
88,0.99038,0.77782
89,0.99038,0.7611
90,0.99038,0.69878
91,0.99038,0.72659
92,0.99038,0.74462
93,0.99038,0.77713
94,0.99038,0.75876
95,0.99038,0.7045
96,0.99038,0.79304
97,0.99038,0.78549
98,0.99038,0.72837
99,0.99038,0.80191
100,0.99038,0.71034
101,0.99038,0.78056
102,0.99038,0.78892
103,0.99038,0.77169
104,0.99038,0.7575
105,0.99038,0.77101
106,0.99038,0.74325
107,0.99038,0.76156
108,0.99038,0.75984
109,0.99038,0.75155
110,0.99038,0.78566
111,0.99038,0.77038
112,0.99038,0.71285
113,0.99038,0.72854
114,0.99038,0.77335
115,0.99038,0.76128
116,0.99038,0.80311
117,0.99038,0.77484
118,0.99038,0.75675
119,0.99038,0.75515
120,0.99038,0.76603
121,0.99038,0.77249
122,0.99038,0.76912
123,0.99038,0.79642
124,0.99038,0.7235
125,0.99038,0.66564
126,0.99038,0.71995
127,0.99038,0.76231
128,0.99038,0.74908
129,0.99038,0.66232
130,0.99038,0.73048
131,0.99038,0.70679
132,0.99038,0.76769
133,0.99038,0.77827
134,0.99038,0.79928
135,0.99038,0.76557
136,0.99038,0.81782
137,0.99038,0.79911
138,0.99038,0.79447
139,0.99038,0.76603
140,0.99038,0.78108
141,0.99038,0.82206
142,0.99038,0.78634
143,0.99038,0.74204
144,0.99038,0.7575
145,0.99038,0.8038
146,0.99038,0.73563
147,0.99038,0.78703
148,0.99038,0.75109
149,0.99038,0.7749
