res_expno,res_lbl_score,res_tst_score
0,0.97579,0.73603
1,0.96113,0.76843
2,0.98042,0.68698
3,0.96238,0.76963
4,0.96819,0.69963
5,0.97062,0.79819
6,0.98331,0.75132
7,0.97789,0.73472
8,0.96665,0.74256
9,0.96291,0.75269
10,0.97888,0.80248
11,0.98196,0.76786
12,0.96537,0.74073
13,0.97844,0.74748
14,0.96994,0.73025
15,0.98721,0.74783
16,0.98194,0.76231
17,0.96482,0.72075
18,0.96785,0.70828
19,0.97923,0.73569
20,0.97309,0.75984
21,0.97615,0.62735
22,0.98157,0.76036
23,0.97659,0.70971
24,0.97226,0.72865
25,0.97908,0.72127
26,0.97895,0.76128
27,0.96839,0.71543
28,0.98068,0.7769
29,0.9778,0.72676
30,0.97105,0.75464
31,0.9796,0.71829
32,0.98504,0.71177
33,0.97615,0.70501
34,0.99038,0.74582
35,0.96046,0.75899
36,0.97961,0.73283
37,0.98171,0.77953
38,0.95835,0.78342
39,0.97251,0.74113
40,0.97728,0.72751
41,0.96835,0.73254
42,0.98546,0.73163
43,0.96921,0.75847
44,0.98144,0.7053
45,0.98002,0.76082
46,0.98436,0.71097
47,0.97371,0.71589
48,0.96768,0.71039
49,0.97054,0.72493
50,0.97438,0.76465
51,0.98132,0.78537
52,0.97879,0.7749
53,0.97288,0.73191
54,0.96041,0.74044
55,0.95321,0.77009
56,0.98138,0.74325
57,0.97695,0.76128
58,0.98106,0.75939
59,0.96803,0.79922
60,0.98678,0.68973
61,0.97116,0.77249
62,0.9684,0.76374
63,0.97802,0.73523
64,0.97136,0.72625
65,0.97383,0.73787
66,0.96056,0.79424
67,0.98055,0.75784
68,0.95385,0.78566
69,0.97714,0.7785
70,0.96092,0.74348
71,0.96156,0.69706
72,0.95655,0.76139
73,0.97309,0.74622
74,0.98902,0.71028
75,0.97736,0.73329
76,0.98279,0.73375
77,0.98151,0.7781
78,0.98316,0.67291
79,0.97045,0.72035
80,0.96052,0.75532
81,0.97436,0.76397
82,0.98133,0.6879
83,0.97812,0.65488
84,0.98013,0.75635
85,0.96949,0.77358
86,0.94973,0.7421
87,0.98116,0.71732
88,0.96414,0.72722
89,0.98469,0.67291
90,0.96198,0.70788
91,0.97957,0.67296
92,0.9719,0.77673
93,0.98277,0.72814
94,0.97551,0.73043
95,0.98547,0.70793
96,0.97033,0.76185
97,0.98785,0.75807
98,0.98874,0.68418
99,0.96533,0.72951
100,0.97418,0.74061
101,0.9874,0.69454
102,0.97719,0.7231
103,0.9818,0.76694
104,0.96423,0.75086
105,0.98636,0.71148
106,0.97757,0.70936
107,0.97184,0.7227
108,0.97638,0.76225
109,0.97309,0.77604
110,0.98549,0.733
111,0.9816,0.71692
112,0.96491,0.71263
113,0.97985,0.78617
114,0.97323,0.63158
115,0.97625,0.71068
116,0.96326,0.7397
117,0.96517,0.7077
118,0.97261,0.70862
119,0.98343,0.72001
120,0.95891,0.75132
121,0.9708,0.77003
122,0.96441,0.75509
123,0.97727,0.74525
124,0.97755,0.73638
125,0.97691,0.66363
126,0.96703,0.73272
127,0.98411,0.75532
128,0.98297,0.68607
129,0.94423,0.70673
130,0.97685,0.76832
131,0.98021,0.68447
132,0.97931,0.72505
133,0.98193,0.68756
134,0.96988,0.78806
135,0.96761,0.72339
136,0.98207,0.72842
137,0.98471,0.78818
138,0.96828,0.74519
139,0.97269,0.76809
140,0.98016,0.73712
141,0.96332,0.75715
142,0.99017,0.74914
143,0.98178,0.7326
144,0.99026,0.71635
145,0.98196,0.7615
146,0.97768,0.72585
147,0.95818,0.76728
148,0.97365,0.74262
149,0.97194,0.76849
