res_expno,res_lbl_score,res_tst_score
0,0.9743,0.79264
1,0.96797,0.79436
2,0.98056,0.71738
3,0.96827,0.81313
4,0.95018,0.73953
5,0.97372,0.84861
6,0.98331,0.79499
7,0.96618,0.81736
8,0.96591,0.76459
9,0.9737,0.76002
10,0.94733,0.80712
11,0.98343,0.75258
12,0.96845,0.81136
13,0.97581,0.76671
14,0.97468,0.7753
15,0.98248,0.77793
16,0.97394,0.79241
17,0.9541,0.78966
18,0.95434,0.71085
19,0.97792,0.78955
20,0.97563,0.7769
21,0.95988,0.63919
22,0.97286,0.79808
23,0.98526,0.74788
24,0.97448,0.77226
25,0.97323,0.75269
26,0.97125,0.80746
27,0.9764,0.75212
28,0.97028,0.81279
29,0.96221,0.76843
30,0.98271,0.76654
31,0.97345,0.78537
32,0.95206,0.74336
33,0.97298,0.74285
34,0.97423,0.78829
35,0.97864,0.7935
36,0.97065,0.78978
37,0.96331,0.81639
38,0.93471,0.77993
39,0.97214,0.82309
40,0.94821,0.73844
41,0.96242,0.76837
42,0.95525,0.78852
43,0.9612,0.7401
44,0.97506,0.76179
45,0.9692,0.7441
46,0.97704,0.73478
47,0.97251,0.7698
48,0.96498,0.79905
49,0.97718,0.76774
50,0.96341,0.81176
51,0.9704,0.78915
52,0.95222,0.79997
53,0.97155,0.80626
54,0.95651,0.74685
55,0.94507,0.79682
56,0.98414,0.8232
57,0.96086,0.6942
58,0.97646,0.78984
59,0.96696,0.80987
60,0.97905,0.74176
61,0.97819,0.76929
62,0.95079,0.77352
63,0.97979,0.75155
64,0.97799,0.73008
65,0.972,0.76213
66,0.96525,0.77696
67,0.9744,0.72396
68,0.97069,0.80346
69,0.97172,0.80128
70,0.9718,0.79899
71,0.98243,0.72819
72,0.94493,0.79058
73,0.95965,0.79178
74,0.96605,0.71263
75,0.96013,0.73615
76,0.96671,0.80861
77,0.962,0.78611
78,0.96848,0.73014
79,0.96107,0.75424
80,0.95066,0.801
81,0.94507,0.76448
82,0.96932,0.7492
83,0.98219,0.7255
84,0.96311,0.7832
85,0.96558,0.76562
86,0.96471,0.75916
87,0.9773,0.76734
88,0.98734,0.77679
89,0.97449,0.7579
90,0.9385,0.77856
91,0.97332,0.75246
92,0.95866,0.76208
93,0.93857,0.79024
94,0.96821,0.73043
95,0.96969,0.68658
96,0.96696,0.7856
97,0.97721,0.8117
98,0.96751,0.74433
99,0.94615,0.79922
100,0.96525,0.74788
101,0.96715,0.77501
102,0.97512,0.78354
103,0.98882,0.78274
104,0.9762,0.75458
105,0.96404,0.7508
106,0.96123,0.70942
107,0.96509,0.7492
108,0.97582,0.78634
109,0.95703,0.78033
110,0.97683,0.79796
111,0.97523,0.72911
112,0.95604,0.7591
113,0.94953,0.75612
114,0.98047,0.77169
115,0.97475,0.76872
116,0.96619,0.83133
117,0.98172,0.77032
118,0.96635,0.7413
119,0.97689,0.77329
120,0.97285,0.73048
121,0.96508,0.77925
122,0.96105,0.78239
123,0.96727,0.78297
124,0.97637,0.71972
125,0.97079,0.68075
126,0.97101,0.74685
127,0.97337,0.80037
128,0.96636,0.70232
129,0.97029,0.73111
130,0.93128,0.7025
131,0.97215,0.74691
132,0.95736,0.76574
133,0.97905,0.78915
134,0.96201,0.8149
135,0.94802,0.73752
136,0.98263,0.79865
137,0.97213,0.83322
138,0.98118,0.79596
139,0.97876,0.76728
140,0.95889,0.75481
141,0.96468,0.79522
142,0.94726,0.77421
143,0.9759,0.75309
144,0.97852,0.73666
145,0.97174,0.76545
146,0.9627,0.78348
147,0.97811,0.80472
148,0.96948,0.77255
149,0.95378,0.77541
