res_expno,res_lbl_score,res_tst_score
0,0.99038,0.79957
1,0.99038,0.80214
2,0.99038,0.70999
3,0.99038,0.80111
4,0.99038,0.76122
5,0.99038,0.81708
6,0.99038,0.7927
7,0.99038,0.79281
8,0.99038,0.77032
9,0.99038,0.76734
10,0.99038,0.80844
11,0.99038,0.72539
12,0.99038,0.79075
13,0.99038,0.81439
14,0.99038,0.74525
15,0.99038,0.77066
16,0.99038,0.78285
17,0.99038,0.79979
18,0.99038,0.75761
19,0.99038,0.78652
20,0.99038,0.82486
21,0.99038,0.71949
22,0.99038,0.8141
23,0.99038,0.74491
24,0.99038,0.77885
25,0.99038,0.75715
26,0.99038,0.82086
27,0.99038,0.71732
28,0.99038,0.81725
29,0.99038,0.77318
30,0.99038,0.78051
31,0.99038,0.77908
32,0.99038,0.75452
33,0.99038,0.72871
34,0.99038,0.76534
35,0.99038,0.81107
36,0.99038,0.81731
37,0.99038,0.83076
38,0.99038,0.79321
39,0.99038,0.80987
40,0.99038,0.81342
41,0.99038,0.78772
42,0.99038,0.80506
43,0.99038,0.69952
44,0.99038,0.78463
45,0.99038,0.74811
46,0.99038,0.73352
47,0.99038,0.78829
48,0.99038,0.82263
49,0.99038,0.75011
50,0.99038,0.79464
51,0.99038,0.81342
52,0.99038,0.78342
53,0.99038,0.82584
54,0.99038,0.77175
55,0.99038,0.76992
56,0.99038,0.78274
57,0.99038,0.66661
58,0.99038,0.79447
59,0.99038,0.81307
60,0.99038,0.7694
61,0.99038,0.78199
62,0.99038,0.77507
63,0.99038,0.77129
64,0.99038,0.73804
65,0.99038,0.7741
66,0.99038,0.76683
67,0.99038,0.74445
68,0.99038,0.76797
69,0.99038,0.77598
70,0.99038,0.79407
71,0.99038,0.73861
72,0.99038,0.7947
73,0.99038,0.79459
74,0.99038,0.71062
75,0.99038,0.7496
76,0.99038,0.75567
77,0.99038,0.77507
78,0.99038,0.72081
79,0.99038,0.72133
80,0.99038,0.77833
81,0.99038,0.8006
82,0.99038,0.75469
83,0.99038,0.72224
84,0.99038,0.79218
85,0.99038,0.76465
86,0.99038,0.79647
87,0.99038,0.77055
88,0.99038,0.77095
89,0.99038,0.77266
90,0.99038,0.72064
91,0.99038,0.72756
92,0.99038,0.74777
93,0.99038,0.77982
94,0.99038,0.75069
95,0.99038,0.71268
96,0.99038,0.80134
97,0.99038,0.80334
98,0.99038,0.73695
99,0.99038,0.79939
100,0.99038,0.73243
101,0.99038,0.78354
102,0.99038,0.788
103,0.99038,0.75675
104,0.99038,0.75744
105,0.99038,0.7603
106,0.99038,0.72167
107,0.99038,0.76963
108,0.99038,0.7619
109,0.99038,0.76814
110,0.99038,0.76397
111,0.99038,0.76643
112,0.99038,0.75069
113,0.99038,0.73306
114,0.99038,0.76551
115,0.99038,0.75675
116,0.99038,0.80649
117,0.99038,0.77633
118,0.99038,0.75286
119,0.99038,0.76728
120,0.99038,0.75481
121,0.99038,0.76568
122,0.99038,0.78835
123,0.99038,0.78205
124,0.99038,0.71972
125,0.99038,0.66913
126,0.99038,0.70816
127,0.99038,0.77169
128,0.99038,0.75349
129,0.99038,0.69952
130,0.99038,0.74016
131,0.99038,0.7077
132,0.99038,0.76202
133,0.99038,0.78388
134,0.99038,0.77919
135,0.99038,0.77976
136,0.99038,0.82326
137,0.99038,0.80008
138,0.99038,0.80792
139,0.99038,0.77341
140,0.99038,0.79167
141,0.99038,0.7919
142,0.99038,0.78514
143,0.99038,0.75652
144,0.99038,0.76351
145,0.99038,0.80987
146,0.99038,0.74462
147,0.99038,0.80025
148,0.99038,0.76219
149,0.99038,0.75755
