res_expno,res_lbl_score,res_tst_score
0,0.97297,0.784
1,0.97552,0.81399
2,0.98636,0.71326
3,0.95772,0.80351
4,0.96577,0.76024
5,0.96626,0.82813
6,0.98522,0.82526
7,0.96676,0.79304
8,0.9756,0.78503
9,0.98321,0.76397
10,0.96243,0.80678
11,0.98295,0.77948
12,0.96599,0.80666
13,0.98148,0.80649
14,0.99004,0.80094
15,0.981,0.79487
16,0.98265,0.79567
17,0.95772,0.79418
18,0.96309,0.72619
19,0.96929,0.79207
20,0.9814,0.79539
21,0.96875,0.67142
22,0.97408,0.80792
23,0.97616,0.70496
24,0.98331,0.77118
25,0.97355,0.7599
26,0.98114,0.81965
27,0.98359,0.74296
28,0.97314,0.8481
29,0.96106,0.77049
30,0.9852,0.79733
31,0.97249,0.79224
32,0.97065,0.76734
33,0.98367,0.7559
34,0.98097,0.78829
35,0.97097,0.8133
36,0.96878,0.80947
37,0.96501,0.8378
38,0.96076,0.79201
39,0.96722,0.8097
40,0.97578,0.77163
41,0.98281,0.75899
42,0.96046,0.78909
43,0.9761,0.73632
44,0.96691,0.74542
45,0.98614,0.75435
46,0.9741,0.75418
47,0.96265,0.76334
48,0.96902,0.80987
49,0.97628,0.77244
50,0.95821,0.82074
51,0.97521,0.82916
52,0.94924,0.79951
53,0.98529,0.81136
54,0.95566,0.78062
55,0.95545,0.78657
56,0.98062,0.82664
57,0.97536,0.69208
58,0.98617,0.78989
59,0.97579,0.78417
60,0.97589,0.76688
61,0.97812,0.78629
62,0.96161,0.79287
63,0.97863,0.77226
64,0.97275,0.74708
65,0.97309,0.78245
66,0.97181,0.76751
67,0.97899,0.73621
68,0.96331,0.78903
69,0.98003,0.78955
70,0.98479,0.78159
71,0.98064,0.76912
72,0.95833,0.7765
73,0.95623,0.78308
74,0.98184,0.71394
75,0.97708,0.76276
76,0.96349,0.81033
77,0.96888,0.78812
78,0.98035,0.7516
79,0.97526,0.75137
80,0.96781,0.79298
81,0.96428,0.76906
82,0.97839,0.76122
83,0.97987,0.72516
84,0.97182,0.80266
85,0.96887,0.80437
86,0.9699,0.76442
87,0.97597,0.76202
88,0.98352,0.77999
89,0.97844,0.80306
90,0.94768,0.76156
91,0.98102,0.76637
92,0.97565,0.76568
93,0.95761,0.80254
94,0.97559,0.73209
95,0.9717,0.68281
96,0.97557,0.8149
97,0.97399,0.80987
98,0.97583,0.74576
99,0.9656,0.80741
100,0.96461,0.72905
101,0.97665,0.78297
102,0.98374,0.78526
103,0.99038,0.78617
104,0.98319,0.76271
105,0.95943,0.75555
106,0.96671,0.73254
107,0.96866,0.75996
108,0.9747,0.77541
109,0.96024,0.79356
110,0.96772,0.80912
111,0.98252,0.74193
112,0.96811,0.7781
113,0.97288,0.79058
114,0.98316,0.7686
115,0.97304,0.77764
116,0.96994,0.83516
117,0.97962,0.76975
118,0.97095,0.77988
119,0.98792,0.77696
120,0.97442,0.74159
121,0.96593,0.76746
122,0.96264,0.78938
123,0.98371,0.81685
124,0.9757,0.72241
125,0.97347,0.67319
126,0.98322,0.76488
127,0.97705,0.7872
128,0.97042,0.72413
129,0.97421,0.74147
130,0.95121,0.70776
131,0.98389,0.74285
132,0.96735,0.79344
133,0.97096,0.79401
134,0.97796,0.82921
135,0.9626,0.77232
136,0.97624,0.80701
137,0.96663,0.82612
138,0.97849,0.80351
139,0.97911,0.76814
140,0.96398,0.75509
141,0.96614,0.805
142,0.96137,0.78737
143,0.98454,0.76425
144,0.98677,0.74353
145,0.97377,0.79619
146,0.9658,0.77948
147,0.98087,0.79773
148,0.97288,0.76128
149,0.9568,0.78508
