res_expno,res_lbl_score,res_tst_score
0,0.99366,0.82995
1,0.98663,0.84869
2,0.98804,0.81455
3,0.99146,0.84652
4,0.9873,0.79922
5,0.99057,0.82159
6,0.99143,0.8028
7,0.98757,0.8018
8,0.99292,0.84371
9,0.99317,0.82645
10,0.99136,0.83076
11,0.99009,0.82556
12,0.99162,0.81746
13,0.98917,0.82479
14,0.98972,0.82414
15,0.99078,0.83141
16,0.99119,0.81727
17,0.98842,0.80098
18,0.98821,0.82368
19,0.98788,0.83084
20,0.99244,0.83417
21,0.99323,0.8156
22,0.99065,0.81855
23,0.99065,0.82732
24,0.98781,0.82263
25,0.99234,0.82334
26,0.99123,0.81698
27,0.99271,0.82205
28,0.99087,0.83509
29,0.98646,0.82461
30,0.9877,0.79664
31,0.99235,0.82293
32,0.99289,0.81697
33,0.99261,0.82884
34,0.99019,0.83537
35,0.99345,0.81018
36,0.99097,0.79479
37,0.99323,0.82274
38,0.9927,0.83409
39,0.98852,0.80786
40,0.99111,0.82172
41,0.98996,0.81488
42,0.99154,0.81711
43,0.99173,0.81168
44,0.98786,0.82865
45,0.98905,0.80721
46,0.9929,0.82284
47,0.99306,0.80608
48,0.98516,0.82498
49,0.98768,0.80516
50,0.99194,0.81128
51,0.99238,0.81983
52,0.99207,0.82804
53,0.98935,0.83633
54,0.99116,0.82425
55,0.9896,0.82066
56,0.99194,0.83063
57,0.98985,0.81911
58,0.98836,0.81028
59,0.98965,0.83121
60,0.98863,0.83016
61,0.98672,0.80219
62,0.98499,0.81452
63,0.99096,0.81343
64,0.98917,0.82816
65,0.9891,0.80853
66,0.99306,0.83026
67,0.98987,0.83403
68,0.98976,0.84428
69,0.99021,0.83998
70,0.98918,0.81982
71,0.99173,0.81952
72,0.99557,0.80093
73,0.98832,0.8328
74,0.99195,0.83691
75,0.9894,0.83026
76,0.98432,0.81526
77,0.99194,0.81191
78,0.99186,0.83124
79,0.98727,0.82897
80,0.99027,0.82615
81,0.99171,0.84633
82,0.99249,0.83298
83,0.99216,0.81641
84,0.99014,0.81516
85,0.98984,0.84519
86,0.99184,0.80629
87,0.98946,0.7998
88,0.99244,0.82812
89,0.99345,0.82842
90,0.99064,0.85287
91,0.99077,0.82112
92,0.99288,0.81079
93,0.99321,0.80369
94,0.99033,0.83884
95,0.99228,0.8355
96,0.98903,0.85099
97,0.98843,0.81264
98,0.99101,0.83552
99,0.99216,0.83855
100,0.98698,0.81702
101,0.98888,0.8264
102,0.98972,0.83214
103,0.99209,0.82606
104,0.99173,0.84755
105,0.99225,0.83136
106,0.99313,0.80865
107,0.98641,0.81191
108,0.99418,0.81112
109,0.99132,0.81005
110,0.99084,0.82641
111,0.99256,0.81164
112,0.99122,0.82519
113,0.98971,0.81341
114,0.99247,0.82378
115,0.98937,0.81645
116,0.99367,0.83701
117,0.99022,0.82316
118,0.98998,0.8106
119,0.99221,0.83644
120,0.994,0.81164
121,0.99241,0.83607
122,0.9911,0.83227
123,0.98817,0.8413
124,0.99147,0.83939
125,0.98817,0.84408
126,0.99362,0.81186
127,0.99157,0.83218
128,0.98525,0.82248
129,0.98477,0.80918
130,0.99089,0.83273
131,0.99156,0.83231
132,0.99198,0.80837
133,0.99057,0.78996
134,0.99315,0.80773
135,0.9904,0.84891
136,0.98865,0.82316
137,0.99155,0.81259
138,0.98705,0.81894
139,0.99303,0.80814
140,0.99033,0.79388
141,0.98825,0.81717
142,0.99275,0.82386
143,0.98987,0.84503
144,0.98832,0.8249
145,0.98856,0.84002
146,0.99019,0.8389
147,0.98859,0.82553
148,0.99051,0.82072
149,0.99076,0.82516
