res_expno,res_lbl_score,res_tst_score
0,0.83038,0.87375
1,0.85626,0.87388
2,0.8463,0.86854
3,0.85224,0.85892
5,0.8463,0.85911
7,0.85767,0.8555
8,0.82517,0.88356
9,0.83911,0.86365
10,0.86451,0.84622
11,0.87292,0.85191
12,0.84111,0.87704
13,0.87152,0.84738
14,0.86267,0.87482
15,0.86229,0.85228
16,0.85435,0.87209
17,0.8635,0.85201
19,0.82419,0.89803
20,0.82602,0.91307
21,0.85198,0.87522
23,0.85732,0.84794
24,0.84881,0.87169
25,0.87854,0.88297
26,0.82826,0.88327
27,0.84982,0.83074
28,0.85651,0.87127
30,0.86527,0.86049
31,0.88755,0.88667
32,0.86962,0.85791
33,0.85348,0.87092
34,0.87848,0.8406
35,0.85469,0.85008
36,0.79873,0.88921
37,0.8368,0.88182
38,0.82612,0.88545
39,0.84425,0.87433
40,0.84197,0.88914
41,0.82893,0.88317
42,0.82167,0.89473
43,0.84184,0.85822
44,0.84544,0.87202
45,0.83768,0.88779
46,0.83031,0.87733
48,0.84803,0.86975
49,0.83994,0.86773
50,0.85433,0.87214
51,0.84532,0.87105
52,0.8418,0.87748
53,0.8671,0.86348
54,0.84737,0.85149
55,0.86007,0.85302
56,0.8369,0.85618
57,0.84211,0.87316
58,0.84905,0.86865
59,0.86858,0.8579
60,0.84755,0.88906
61,0.84758,0.87919
62,0.80182,0.90572
63,0.82311,0.88339
64,0.85974,0.85793
65,0.84719,0.86307
66,0.85851,0.86822
67,0.81506,0.89802
68,0.8547,0.90077
69,0.84454,0.8728
70,0.83724,0.873
71,0.86687,0.86259
72,0.87724,0.85941
73,0.86771,0.88314
74,0.82302,0.89174
75,0.86745,0.84523
76,0.85195,0.86916
77,0.86188,0.86295
78,0.83736,0.867
79,0.85446,0.87268
80,0.8484,0.86767
81,0.84544,0.8749
82,0.84825,0.87628
83,0.84715,0.86796
84,0.87163,0.85368
86,0.8487,0.8646
87,0.86404,0.87092
88,0.81825,0.89791
89,0.8835,0.84743
90,0.86386,0.86197
91,0.86074,0.87596
92,0.84002,0.87206
93,0.84682,0.85973
94,0.81535,0.8978
95,0.85008,0.86612
97,0.84383,0.87133
98,0.87341,0.87107
100,0.84608,0.88061
101,0.85452,0.88132
102,0.85401,0.85359
103,0.87206,0.86286
104,0.86969,0.85683
105,0.8457,0.87069
106,0.84323,0.86848
107,0.84739,0.86876
108,0.8237,0.88064
109,0.84537,0.88253
110,0.84981,0.85893
111,0.82925,0.87805
112,0.84754,0.85975
113,0.84062,0.8788
114,0.86304,0.86292
115,0.87589,0.84925
116,0.8706,0.87164
117,0.84626,0.85254
118,0.86375,0.86039
119,0.87595,0.84512
120,0.85231,0.84989
121,0.8593,0.86562
122,0.8806,0.84223
123,0.83476,0.87609
124,0.84987,0.86589
125,0.86592,0.86412
126,0.84659,0.88218
127,0.86539,0.86035
128,0.85981,0.85735
129,0.86062,0.8649
130,0.84216,0.86646
131,0.8745,0.85764
132,0.85196,0.8664
134,0.85398,0.86153
135,0.84354,0.86606
136,0.83445,0.88403
138,0.86773,0.85023
139,0.84582,0.87984
140,0.87748,0.85321
141,0.85747,0.86793
142,0.85669,0.87838
143,0.84493,0.88259
144,0.85088,0.86358
145,0.8617,0.87751
146,0.8449,0.86319
147,0.85753,0.87642
