res_expno,res_lbl_score,res_tst_score
0,0.86093,0.87818
1,0.86451,0.87628
2,0.86925,0.87166
3,0.86163,0.86041
5,0.85036,0.86032
7,0.87184,0.85649
8,0.85514,0.8867
9,0.8572,0.86813
10,0.86709,0.84723
11,0.87975,0.85259
12,0.86223,0.88127
13,0.88639,0.84742
14,0.87957,0.87594
15,0.86109,0.85268
16,0.86913,0.87343
17,0.87303,0.85263
19,0.88014,0.89825
20,0.88827,0.92152
21,0.85971,0.87857
23,0.85952,0.84976
24,0.88293,0.87095
25,0.91232,0.87758
26,0.86457,0.88507
27,0.85448,0.83441
28,0.86356,0.87344
30,0.8668,0.86156
31,0.90689,0.88835
32,0.87461,0.86042
33,0.85872,0.87078
34,0.88392,0.84258
35,0.85892,0.85134
36,0.87445,0.89873
37,0.84113,0.88136
38,0.86845,0.88723
39,0.8956,0.87645
40,0.87878,0.89598
41,0.85588,0.88574
42,0.85392,0.89263
43,0.85049,0.8578
44,0.88217,0.87316
45,0.84522,0.88843
46,0.85364,0.87881
48,0.87186,0.8704
49,0.86159,0.87154
50,0.8635,0.8738
51,0.87892,0.87513
52,0.87673,0.87298
53,0.88818,0.8656
54,0.84993,0.85505
55,0.85514,0.85261
56,0.8602,0.85279
57,0.85487,0.87351
58,0.8572,0.86822
59,0.86527,0.85782
60,0.86856,0.88756
61,0.86368,0.88052
62,0.90601,0.90001
63,0.86595,0.88744
64,0.86536,0.85782
65,0.86363,0.86725
66,0.87228,0.86916
67,0.8567,0.90625
68,0.89871,0.90363
69,0.85817,0.87704
70,0.87314,0.87175
71,0.8817,0.86316
72,0.87677,0.86042
73,0.8835,0.88275
74,0.86945,0.89392
75,0.86354,0.84742
76,0.88064,0.86677
77,0.86321,0.86302
78,0.86961,0.86886
79,0.85916,0.87334
80,0.85606,0.86822
81,0.86783,0.8751
82,0.86498,0.8812
83,0.84948,0.86821
84,0.86854,0.85522
86,0.87625,0.86489
87,0.87341,0.87013
88,0.84725,0.90071
89,0.8831,0.84743
90,0.8608,0.86302
91,0.8772,0.87482
92,0.83682,0.87596
93,0.8607,0.86155
94,0.8657,0.89657
95,0.85497,0.86821
97,0.85757,0.87486
98,0.87703,0.87339
100,0.85955,0.88113
101,0.86015,0.88153
102,0.86498,0.85504
103,0.87436,0.86307
104,0.87298,0.85782
105,0.86061,0.87082
106,0.8969,0.86486
107,0.8462,0.87084
108,0.86517,0.87855
109,0.8818,0.8817
110,0.86092,0.86035
111,0.86739,0.87673
112,0.85294,0.86302
113,0.86992,0.87912
114,0.87128,0.86584
115,0.87765,0.85034
116,0.88198,0.87156
117,0.87566,0.85469
118,0.88068,0.85961
119,0.9011,0.84435
120,0.85611,0.85255
121,0.87147,0.86657
122,0.88284,0.84223
123,0.86443,0.87816
124,0.85817,0.8673
125,0.86809,0.86562
126,0.85744,0.88144
127,0.87828,0.86004
128,0.86877,0.85949
129,0.86412,0.86789
130,0.85831,0.86958
131,0.88264,0.85691
132,0.85617,0.86563
134,0.87999,0.86397
135,0.85714,0.86815
136,0.85818,0.88689
138,0.86942,0.85235
139,0.86644,0.8818
140,0.88277,0.85523
141,0.86961,0.86763
142,0.87115,0.8815
143,0.86547,0.88198
144,0.84896,0.86302
145,0.87615,0.87913
146,0.86691,0.86342
147,0.8751,0.8794
