res_expno,res_lbl_score,res_tst_score
0,0.99819,0.86964
1,0.99818,0.86604
2,0.99819,0.86068
3,0.99819,0.84947
5,0.99819,0.86232
7,0.99819,0.84013
8,0.99819,0.87791
9,0.99819,0.85741
10,0.99819,0.8408
11,0.99819,0.85154
12,0.99819,0.87019
13,0.99819,0.84722
14,0.99819,0.86633
15,0.99819,0.84354
16,0.99819,0.86185
17,0.99819,0.84745
19,0.99819,0.89329
20,0.99819,0.88354
21,0.99819,0.8722
23,0.99819,0.8435
24,0.99819,0.85858
25,0.99819,0.8694
26,0.99819,0.87347
27,0.99819,0.82522
28,0.99819,0.85766
30,0.99819,0.85191
31,0.99817,0.87628
32,0.99818,0.84933
33,0.99817,0.85511
34,0.99819,0.83443
35,0.99819,0.84986
36,0.99819,0.88205
37,0.99819,0.87123
38,0.99819,0.86711
39,0.99819,0.86767
40,0.99819,0.87888
41,0.99819,0.87289
42,0.99819,0.87829
43,0.99819,0.86232
44,0.99819,0.85695
45,0.99819,0.87579
46,0.99819,0.872
48,0.99819,0.85471
49,0.99819,0.86165
50,0.99817,0.86067
51,0.99819,0.86746
52,0.99818,0.86562
53,0.99819,0.86101
54,0.99817,0.85191
55,0.99819,0.84613
56,0.99819,0.84776
57,0.99819,0.87344
58,0.99819,0.85388
59,0.99819,0.85522
60,0.99816,0.8714
61,0.99819,0.86162
62,0.99819,0.88925
63,0.99819,0.87251
64,0.99816,0.8507
65,0.99819,0.85835
66,0.99819,0.85468
67,0.99819,0.88026
68,0.99819,0.88847
69,0.99818,0.86048
70,0.99819,0.85775
71,0.99819,0.85686
72,0.99819,0.85401
73,0.99819,0.86797
74,0.99819,0.87221
75,0.99819,0.83656
76,0.99819,0.85941
77,0.99819,0.85937
78,0.99819,0.85997
79,0.99819,0.86379
80,0.99819,0.8726
81,0.99819,0.85972
82,0.99819,0.86652
83,0.99819,0.85513
84,0.99819,0.85285
86,0.99819,0.8494
87,0.99819,0.86913
88,0.99813,0.88788
89,0.99819,0.82997
90,0.99819,0.85707
91,0.99818,0.86844
92,0.99819,0.86643
93,0.99819,0.84797
94,0.99819,0.86856
95,0.99819,0.86213
97,0.99819,0.85941
98,0.99819,0.86547
100,0.99819,0.86769
101,0.99818,0.86953
102,0.99819,0.84406
103,0.99819,0.85689
104,0.99819,0.85158
105,0.99819,0.86536
106,0.99819,0.86863
107,0.99819,0.87241
108,0.99819,0.86844
109,0.99819,0.87233
110,0.99815,0.84777
111,0.99819,0.85505
112,0.99819,0.85761
113,0.99819,0.86997
114,0.99819,0.86028
115,0.99819,0.84129
116,0.99819,0.86453
117,0.99818,0.83871
118,0.99817,0.85729
119,0.99819,0.83902
120,0.99819,0.85407
121,0.99819,0.85833
122,0.99819,0.83476
123,0.99819,0.86557
124,0.99819,0.85989
125,0.99819,0.85513
126,0.99819,0.87834
127,0.99819,0.85133
128,0.99819,0.84123
129,0.99819,0.85897
130,0.99819,0.8598
131,0.99819,0.85026
132,0.99818,0.85772
134,0.99819,0.85291
135,0.99819,0.85725
136,0.99818,0.87467
138,0.99818,0.84273
139,0.99819,0.86781
140,0.99818,0.85122
141,0.99819,0.85202
142,0.99819,0.86524
143,0.99819,0.87315
144,0.99819,0.85738
145,0.99819,0.86828
146,0.99819,0.86218
147,0.99819,0.85567
