res_expno,res_lbl_score,res_tst_score
0,0.74955,0.80988
1,0.75296,0.86338
2,0.75615,0.83183
3,0.76536,0.84616
5,0.76667,0.816
7,0.76401,0.82444
8,0.73499,0.83286
9,0.75174,0.80406
10,0.79209,0.81009
11,0.77808,0.82268
12,0.75265,0.84641
13,0.78687,0.83714
14,0.76343,0.85992
15,0.7951,0.81254
16,0.75608,0.82276
17,0.77979,0.80986
19,0.73591,0.84149
20,0.71769,0.8538
21,0.7552,0.83849
23,0.76464,0.82841
24,0.75523,0.84793
25,0.74849,0.8447
26,0.73648,0.83006
27,0.78239,0.80311
28,0.7517,0.83074
30,0.78984,0.84768
31,0.73552,0.83594
32,0.76965,0.83478
33,0.76238,0.82859
34,0.78688,0.83369
35,0.77821,0.82018
36,0.72937,0.82064
37,0.75972,0.82155
38,0.74674,0.82295
39,0.76439,0.82178
40,0.74803,0.86364
41,0.74157,0.83311
42,0.73202,0.8732
43,0.77356,0.82918
44,0.77435,0.85623
45,0.74686,0.87403
46,0.77955,0.83731
48,0.76203,0.8212
49,0.76241,0.84097
50,0.76278,0.83431
51,0.7529,0.8415
52,0.75716,0.8591
53,0.79839,0.84244
54,0.76459,0.84439
55,0.78368,0.82475
56,0.75774,0.82781
57,0.75285,0.84973
58,0.74778,0.78589
59,0.79381,0.84053
60,0.72953,0.82007
61,0.75353,0.80102
62,0.72024,0.83386
63,0.74972,0.81939
64,0.77765,0.83858
65,0.78074,0.84691
66,0.77204,0.84836
67,0.71672,0.84538
68,0.74711,0.84644
69,0.75997,0.84381
70,0.7472,0.81806
71,0.76733,0.84569
72,0.76168,0.81201
73,0.73811,0.85676
74,0.74191,0.83908
75,0.78098,0.8164
76,0.76563,0.84971
77,0.77305,0.80465
78,0.75557,0.81867
79,0.78172,0.84842
80,0.77479,0.84357
81,0.76064,0.85146
82,0.76593,0.82348
83,0.76372,0.82839
84,0.79791,0.8346
86,0.76076,0.83775
87,0.76717,0.84556
88,0.75552,0.83326
89,0.78793,0.84072
90,0.77528,0.83751
91,0.75817,0.84865
92,0.75754,0.83137
93,0.75629,0.83049
94,0.7255,0.83874
95,0.75252,0.85013
97,0.74232,0.83753
98,0.76945,0.84281
100,0.74161,0.86111
101,0.75961,0.84548
102,0.75542,0.8251
103,0.77291,0.83787
104,0.77552,0.85272
105,0.76084,0.84154
106,0.75829,0.83871
107,0.75962,0.82808
108,0.73277,0.81582
109,0.7469,0.8634
110,0.7468,0.82648
111,0.75295,0.8086
112,0.75947,0.82031
113,0.74175,0.7996
114,0.76599,0.84004
115,0.79461,0.83178
116,0.77123,0.85443
117,0.77233,0.83506
118,0.77037,0.83015
119,0.79445,0.82178
120,0.78528,0.83629
121,0.7625,0.81629
122,0.79256,0.82736
123,0.74234,0.78349
124,0.76245,0.8401
125,0.76989,0.82936
126,0.74165,0.80834
127,0.76079,0.82454
128,0.77719,0.83835
129,0.75729,0.85376
130,0.75449,0.79177
131,0.76424,0.83842
132,0.76043,0.82654
134,0.77677,0.84155
135,0.76418,0.80979
136,0.74761,0.8586
138,0.77608,0.81011
139,0.73749,0.82365
140,0.77551,0.83957
141,0.76456,0.82987
142,0.76584,0.81637
143,0.75507,0.85392
144,0.78503,0.81907
145,0.75175,0.83123
146,0.76796,0.83307
147,0.73903,0.80669
