res_expno,res_lbl_score,res_tst_score
0,0.99819,0.86484
1,0.99819,0.86029
2,0.99819,0.84858
3,0.99819,0.83732
5,0.99819,0.85591
7,0.99819,0.83189
8,0.99819,0.88122
9,0.99819,0.85032
10,0.99819,0.83874
11,0.99819,0.84464
12,0.99819,0.8685
13,0.99819,0.85132
14,0.99819,0.85852
15,0.99819,0.83747
16,0.99819,0.85558
17,0.99819,0.84233
19,0.99819,0.88365
20,0.99817,0.87519
21,0.99819,0.86626
23,0.99819,0.83948
24,0.99819,0.85668
25,0.99819,0.85797
26,0.99819,0.86994
27,0.99819,0.8228
28,0.99819,0.84965
30,0.99819,0.84835
31,0.99819,0.86532
32,0.99819,0.84048
33,0.99819,0.85093
34,0.99819,0.82936
35,0.99818,0.84318
36,0.99819,0.87131
37,0.99819,0.86752
38,0.99819,0.86181
39,0.99819,0.86248
40,0.99819,0.87445
41,0.99818,0.87382
42,0.99819,0.8658
43,0.99819,0.86189
44,0.99819,0.85583
45,0.99819,0.8664
46,0.99819,0.86481
48,0.99819,0.84096
49,0.99819,0.8476
50,0.99817,0.85631
51,0.99818,0.85514
52,0.99819,0.85614
53,0.99819,0.85615
54,0.99819,0.84446
55,0.99818,0.84556
56,0.99819,0.83832
57,0.99818,0.86823
58,0.99819,0.84106
59,0.99819,0.84901
60,0.99819,0.85041
61,0.99819,0.84893
62,0.99819,0.88247
63,0.99819,0.86031
64,0.99819,0.84238
65,0.99819,0.85538
66,0.99819,0.84813
67,0.99819,0.87464
68,0.99819,0.8795
69,0.99819,0.84786
70,0.99819,0.84018
71,0.99819,0.84827
72,0.99819,0.84386
73,0.99819,0.8559
74,0.99818,0.87002
75,0.99819,0.82433
76,0.99819,0.85914
77,0.99819,0.84562
78,0.99819,0.85733
79,0.99819,0.8611
80,0.99819,0.87043
81,0.99819,0.85182
82,0.99819,0.86142
83,0.99819,0.85502
84,0.99819,0.85074
86,0.99819,0.84195
87,0.99819,0.8661
88,0.99819,0.88638
89,0.99819,0.82223
90,0.99817,0.84952
91,0.99819,0.86096
92,0.99819,0.8619
93,0.99819,0.83994
94,0.99819,0.86221
95,0.99819,0.85653
97,0.99819,0.84418
98,0.99819,0.86139
100,0.99819,0.85572
101,0.99816,0.86063
102,0.99819,0.84013
103,0.99818,0.85433
104,0.99819,0.84611
105,0.99819,0.86128
106,0.99819,0.86045
107,0.99818,0.86497
108,0.99819,0.85372
109,0.99819,0.87229
110,0.99819,0.84392
111,0.99819,0.84929
112,0.99819,0.84734
113,0.99819,0.85429
114,0.99819,0.85398
115,0.99819,0.83787
116,0.99819,0.86322
117,0.99819,0.8373
118,0.99816,0.85714
119,0.99819,0.83271
120,0.99819,0.84951
121,0.99816,0.84909
122,0.99819,0.82875
123,0.99817,0.86173
124,0.99819,0.85612
125,0.99819,0.85216
126,0.99819,0.87478
127,0.99818,0.84905
128,0.99819,0.83403
129,0.99819,0.84465
130,0.99819,0.85209
131,0.99819,0.84505
132,0.99819,0.85652
134,0.99819,0.84707
135,0.99818,0.84763
136,0.99819,0.86838
138,0.99819,0.83777
139,0.99819,0.85489
140,0.99819,0.84229
141,0.99818,0.84307
142,0.99819,0.85419
143,0.99819,0.86025
144,0.99819,0.85488
145,0.99819,0.85692
146,0.99819,0.85501
147,0.99817,0.85315
