res_expno,res_lbl_score,res_tst_score
0,0.76947,0.83595
1,0.78057,0.86855
2,0.78772,0.85664
3,0.77042,0.84148
5,0.78523,0.8416
7,0.7929,0.83917
8,0.76294,0.84403
9,0.77952,0.84272
10,0.81816,0.83615
11,0.79893,0.8378
12,0.76642,0.86266
13,0.81027,0.84007
14,0.77737,0.86638
15,0.80686,0.84752
16,0.77966,0.84566
17,0.78778,0.81781
19,0.75759,0.84335
20,0.74633,0.86921
21,0.78022,0.85492
23,0.78894,0.83947
24,0.78075,0.84923
25,0.76204,0.84635
26,0.7555,0.85035
27,0.80425,0.82647
28,0.78393,0.84748
30,0.78915,0.85633
31,0.75535,0.85544
32,0.78264,0.85176
33,0.77408,0.86751
34,0.80234,0.82854
35,0.79247,0.82972
36,0.76243,0.83832
37,0.76409,0.85851
38,0.77368,0.8492
39,0.78803,0.85677
40,0.76979,0.84334
41,0.77239,0.844
42,0.73797,0.86378
43,0.79106,0.83913
44,0.78636,0.84464
45,0.74833,0.85148
46,0.78049,0.83587
48,0.80352,0.84832
49,0.77422,0.84875
50,0.7781,0.86158
51,0.79328,0.84822
52,0.78025,0.84944
53,0.80155,0.8614
54,0.78575,0.84257
55,0.79751,0.84932
56,0.7801,0.83023
57,0.76871,0.85232
58,0.76714,0.85452
59,0.81047,0.8512
60,0.76105,0.85578
61,0.77633,0.85301
62,0.73863,0.80194
63,0.7595,0.83966
64,0.7949,0.84173
65,0.79823,0.84122
66,0.79727,0.85451
67,0.75009,0.84192
68,0.76696,0.85117
69,0.77334,0.84662
70,0.7724,0.84532
71,0.78069,0.83863
72,0.80198,0.85801
73,0.76395,0.86685
74,0.74522,0.84064
75,0.7985,0.83839
76,0.78699,0.84799
77,0.80307,0.85753
78,0.77543,0.81656
79,0.7803,0.86425
80,0.7841,0.84427
81,0.76341,0.84657
82,0.77105,0.85886
83,0.77902,0.85706
84,0.81731,0.85433
86,0.77329,0.84356
87,0.78076,0.85668
88,0.7534,0.85868
89,0.79262,0.84736
90,0.79044,0.85228
91,0.78069,0.84861
92,0.77009,0.84408
93,0.77405,0.84279
94,0.74071,0.86167
95,0.77363,0.84299
97,0.76957,0.84921
98,0.78744,0.86857
100,0.7583,0.86732
101,0.7791,0.86917
102,0.78752,0.83908
103,0.7829,0.85209
104,0.78828,0.84864
105,0.76653,0.84444
106,0.77289,0.83955
107,0.77383,0.86563
108,0.76856,0.83411
109,0.77657,0.84775
110,0.77201,0.83641
111,0.77748,0.85399
112,0.78229,0.85203
113,0.75895,0.84006
114,0.7919,0.86416
115,0.79382,0.8425
116,0.7811,0.84367
117,0.7952,0.83013
118,0.77589,0.83593
119,0.79978,0.81593
120,0.80364,0.82807
121,0.79649,0.85747
122,0.81555,0.84219
123,0.75902,0.8513
124,0.77386,0.84997
125,0.78978,0.85782
126,0.7562,0.84549
127,0.78554,0.84899
128,0.79191,0.82753
129,0.77484,0.85022
130,0.77927,0.84175
131,0.79384,0.8459
132,0.78485,0.84406
134,0.78174,0.83918
135,0.79019,0.8509
136,0.76543,0.86224
138,0.7963,0.84543
139,0.75328,0.84688
140,0.78005,0.84273
141,0.77219,0.85677
142,0.77294,0.85855
143,0.77773,0.86425
144,0.79695,0.85896
145,0.76876,0.85694
146,0.79433,0.83954
147,0.77955,0.85287
