res_expno,res_lbl_score,res_tst_score
0,0.8278,0.88272
1,0.81739,0.87721
2,0.83421,0.87285
3,0.79865,0.86021
5,0.80119,0.86095
7,0.81892,0.85411
8,0.83166,0.88829
9,0.80501,0.86852
10,0.81632,0.84736
11,0.82189,0.85301
12,0.82948,0.88084
13,0.8305,0.84715
14,0.83731,0.87382
15,0.81411,0.85196
16,0.81842,0.8746
17,0.82746,0.85197
19,0.86499,0.89887
20,0.9019,0.92497
21,0.81334,0.87788
23,0.80695,0.84829
24,0.83698,0.86982
25,0.86533,0.86979
26,0.85246,0.88462
27,0.81211,0.83436
28,0.81543,0.87369
30,0.8152,0.86298
31,0.84367,0.87922
32,0.80303,0.8612
33,0.80483,0.87075
34,0.82104,0.84296
35,0.81072,0.85112
36,0.84253,0.90177
37,0.77697,0.88144
38,0.8495,0.88762
39,0.85417,0.87935
40,0.8502,0.89247
41,0.81753,0.88552
42,0.8344,0.89468
43,0.80872,0.85892
44,0.84692,0.87486
45,0.83208,0.88905
46,0.83378,0.8772
48,0.82144,0.86888
49,0.81998,0.87
50,0.8184,0.87324
51,0.82581,0.87347
52,0.85238,0.87115
53,0.83159,0.86498
54,0.79805,0.85486
55,0.79524,0.8527
56,0.83481,0.848
57,0.82447,0.87445
58,0.79829,0.86882
59,0.80353,0.85772
60,0.82793,0.8867
61,0.83978,0.8785
62,0.86896,0.90288
63,0.83297,0.88554
64,0.81833,0.85852
65,0.81782,0.8699
66,0.80583,0.87046
67,0.85658,0.90758
68,0.8522,0.90485
69,0.82353,0.87886
70,0.84845,0.8707
71,0.83395,0.86227
72,0.80431,0.86032
73,0.80999,0.88363
74,0.84617,0.89617
75,0.81315,0.84719
76,0.83216,0.86685
77,0.79524,0.86302
78,0.83768,0.86715
79,0.79896,0.87291
80,0.80797,0.86983
81,0.84254,0.87544
82,0.81999,0.88041
83,0.81187,0.8676
84,0.81795,0.85511
86,0.84172,0.86519
87,0.81078,0.86992
88,0.84142,0.90475
89,0.79317,0.84755
90,0.80158,0.86269
91,0.81669,0.87333
92,0.80732,0.8755
93,0.82507,0.86286
94,0.85591,0.8989
95,0.80893,0.866
97,0.82114,0.87507
98,0.81004,0.87289
100,0.80982,0.88001
101,0.80221,0.88234
102,0.8239,0.85298
103,0.80228,0.86464
104,0.80375,0.85774
105,0.80325,0.87167
106,0.84729,0.8711
107,0.78695,0.87184
108,0.85131,0.87935
109,0.84252,0.88547
110,0.81076,0.86132
111,0.83998,0.87639
112,0.80812,0.86185
113,0.83248,0.87894
114,0.80365,0.86613
115,0.79298,0.85161
116,0.83266,0.87511
117,0.84108,0.85431
118,0.79878,0.85978
119,0.85205,0.84188
120,0.81518,0.85325
121,0.81049,0.8668
122,0.81993,0.84223
123,0.81243,0.87808
124,0.80762,0.86883
125,0.78982,0.86567
126,0.80467,0.88261
127,0.82785,0.85966
128,0.82569,0.85942
129,0.81789,0.86658
130,0.82622,0.87241
131,0.81646,0.85495
132,0.79871,0.86643
134,0.8532,0.85956
135,0.80882,0.86742
136,0.80053,0.88807
138,0.7937,0.85257
139,0.82419,0.88271
140,0.81435,0.85494
141,0.81586,0.86652
142,0.81195,0.88017
143,0.83361,0.87603
144,0.79364,0.86297
145,0.85617,0.88207
146,0.82425,0.8641
147,0.83249,0.87863
