res_expno,res_lbl_score,res_tst_score
0,0.99819,0.8755
1,0.99819,0.86416
2,0.99819,0.85322
3,0.99819,0.84234
5,0.99819,0.85559
7,0.99819,0.83974
8,0.99819,0.87861
9,0.99818,0.85272
10,0.99819,0.83921
11,0.99819,0.8509
12,0.99819,0.87029
13,0.99819,0.84846
14,0.99819,0.86334
15,0.99819,0.84072
16,0.99816,0.86301
17,0.99819,0.84387
19,0.99819,0.88756
20,0.99819,0.88208
21,0.99819,0.8745
23,0.99819,0.83949
24,0.99819,0.85889
25,0.99819,0.86061
26,0.99819,0.87232
27,0.99819,0.82834
28,0.99819,0.86162
30,0.99816,0.84936
31,0.99819,0.87247
32,0.99819,0.84927
33,0.99819,0.85408
34,0.99819,0.83334
35,0.99818,0.84736
36,0.99819,0.87839
37,0.99819,0.87125
38,0.99819,0.86461
39,0.99819,0.86697
40,0.99819,0.87561
41,0.99819,0.88108
42,0.99818,0.87024
43,0.99819,0.86577
44,0.99819,0.85487
45,0.99819,0.87265
46,0.99818,0.8659
48,0.99819,0.8475
49,0.99818,0.8532
50,0.99819,0.86062
51,0.99819,0.857
52,0.99819,0.86012
53,0.99819,0.85903
54,0.99819,0.84992
55,0.99819,0.84343
56,0.99819,0.84003
57,0.99819,0.87017
58,0.99819,0.84963
59,0.99819,0.8513
60,0.99819,0.86768
61,0.99819,0.85192
62,0.99819,0.88642
63,0.99819,0.86975
64,0.99819,0.84385
65,0.99819,0.85424
66,0.99819,0.85335
67,0.99819,0.88362
68,0.99819,0.8847
69,0.99819,0.85359
70,0.99819,0.84823
71,0.99819,0.85194
72,0.99817,0.84839
73,0.99819,0.86358
74,0.99818,0.87469
75,0.99819,0.82803
76,0.99819,0.8595
77,0.99819,0.85318
78,0.99819,0.85862
79,0.99819,0.87154
80,0.99819,0.87461
81,0.99819,0.85722
82,0.99819,0.8634
83,0.99819,0.85931
84,0.99819,0.85308
86,0.99819,0.84792
87,0.99819,0.87016
88,0.99819,0.88519
89,0.99819,0.82411
90,0.99819,0.85323
91,0.99819,0.86766
92,0.99819,0.86846
93,0.99819,0.84317
94,0.99819,0.87258
95,0.99819,0.85859
97,0.99818,0.84957
98,0.99819,0.86457
100,0.99819,0.8581
101,0.99819,0.86267
102,0.99819,0.84311
103,0.99819,0.86229
104,0.99819,0.85128
105,0.99819,0.8659
106,0.99819,0.86285
107,0.99819,0.86636
108,0.99819,0.85927
109,0.99819,0.87354
110,0.99818,0.84796
111,0.99819,0.85655
112,0.99819,0.85573
113,0.99819,0.8658
114,0.99819,0.86216
115,0.99819,0.83931
116,0.99819,0.86628
117,0.99819,0.83708
118,0.99819,0.85474
119,0.99819,0.83736
120,0.99818,0.85011
121,0.99819,0.85524
122,0.99819,0.8323
123,0.99819,0.86329
124,0.99819,0.85913
125,0.99819,0.85186
126,0.99819,0.87935
127,0.99819,0.85025
128,0.99819,0.83564
129,0.99819,0.85266
130,0.99819,0.85639
131,0.99819,0.84875
132,0.99818,0.86229
134,0.99819,0.84891
135,0.99819,0.85573
136,0.99819,0.87019
138,0.99818,0.84348
139,0.99819,0.86563
140,0.99819,0.8469
141,0.99819,0.84751
142,0.99819,0.86046
143,0.99819,0.86709
144,0.99819,0.85761
145,0.99819,0.86636
146,0.99817,0.85455
147,0.99819,0.85651
