res_expno,res_lbl_score,res_tst_score
0,0.79584,0.88
1,0.80571,0.87797
2,0.81232,0.87302
3,0.78152,0.8604
5,0.77798,0.86038
7,0.78911,0.8551
8,0.80657,0.88967
9,0.77827,0.86802
10,0.79928,0.84743
11,0.79162,0.8527
12,0.79603,0.88133
13,0.81699,0.84776
14,0.81177,0.87564
15,0.79434,0.85259
16,0.78978,0.8739
17,0.80114,0.85239
19,0.81335,0.89945
20,0.89946,0.92376
21,0.78398,0.87871
23,0.78521,0.84955
24,0.81504,0.87063
25,0.84752,0.87105
26,0.8219,0.88758
27,0.78754,0.83437
28,0.79462,0.87255
30,0.80364,0.86239
31,0.83713,0.87942
32,0.78606,0.86041
33,0.79029,0.8708
34,0.79835,0.84247
35,0.78859,0.85019
36,0.82948,0.9017
37,0.76058,0.88125
38,0.83191,0.88944
39,0.86158,0.87842
40,0.82821,0.89811
41,0.80707,0.88587
42,0.806,0.89151
43,0.78122,0.85782
44,0.83643,0.87419
45,0.78485,0.88701
46,0.80367,0.87884
48,0.80718,0.86811
49,0.80794,0.87042
50,0.79546,0.87505
51,0.80743,0.87421
52,0.81875,0.86948
53,0.82584,0.86562
54,0.77593,0.85492
55,0.78526,0.85263
56,0.81758,0.8471
57,0.78275,0.87345
58,0.76398,0.86837
59,0.7927,0.85782
60,0.79362,0.88705
61,0.79955,0.88115
62,0.87222,0.90278
63,0.80776,0.8856
64,0.79896,0.85782
65,0.80668,0.86945
66,0.78866,0.87011
67,0.81605,0.90758
68,0.83721,0.90713
69,0.80157,0.8814
70,0.831,0.86905
71,0.80464,0.86302
72,0.76664,0.86041
73,0.78056,0.8858
74,0.81933,0.89513
75,0.78878,0.8474
76,0.81347,0.86784
77,0.78271,0.86302
78,0.80737,0.86982
79,0.78728,0.87326
80,0.79181,0.86831
81,0.80952,0.877
82,0.80324,0.88109
83,0.78927,0.8682
84,0.79731,0.85522
86,0.82179,0.8643
87,0.78668,0.8705
88,0.79932,0.9015
89,0.7898,0.84741
90,0.78267,0.86297
91,0.80596,0.87312
92,0.76621,0.87605
93,0.78827,0.86237
94,0.84302,0.89661
95,0.77656,0.86818
97,0.79438,0.87499
98,0.78134,0.87338
100,0.78485,0.88059
101,0.77961,0.88281
102,0.7822,0.85468
103,0.77841,0.86306
104,0.79079,0.85787
105,0.78551,0.87091
106,0.84098,0.86752
107,0.76707,0.87081
108,0.81673,0.87793
109,0.82884,0.88393
110,0.77362,0.85988
111,0.82141,0.87579
112,0.77794,0.86269
113,0.80338,0.88058
114,0.79528,0.86593
115,0.79566,0.85017
116,0.79864,0.87274
117,0.82223,0.85205
118,0.79678,0.86104
119,0.83327,0.84165
120,0.79572,0.85262
121,0.79491,0.8675
122,0.79721,0.84222
123,0.80662,0.87757
124,0.78922,0.86793
125,0.77758,0.86562
126,0.7899,0.88063
127,0.80417,0.85859
128,0.80023,0.86016
129,0.79172,0.86584
130,0.78581,0.87045
131,0.79853,0.85572
132,0.77371,0.86557
134,0.8204,0.86146
135,0.77715,0.86801
136,0.79744,0.88826
138,0.77961,0.85263
139,0.79546,0.88226
140,0.79062,0.85529
141,0.79718,0.86601
142,0.78891,0.88105
143,0.82179,0.87693
144,0.79165,0.86301
145,0.81914,0.87897
146,0.8102,0.86492
147,0.81575,0.88172
