res_expno,res_lbl_score,res_tst_score
0,0.96957,0.97213
1,0.96693,0.97495
2,0.96704,0.9709
3,0.98508,0.94278
4,0.9539,0.97169
5,0.97453,0.95274
6,0.97553,0.96851
7,0.95733,0.9684
8,0.96701,0.96715
9,0.98135,0.9713
10,0.97005,0.96896
11,0.97397,0.95941
12,0.98315,0.9646
13,0.96158,0.95825
14,0.96935,0.96562
15,0.96818,0.98412
16,0.98493,0.95208
17,0.97434,0.96284
18,0.97249,0.9566
19,0.96047,0.96514
20,0.96725,0.95626
21,0.97229,0.96435
22,0.96757,0.96188
23,0.98151,0.96897
24,0.96851,0.97737
25,0.96614,0.97349
26,0.97573,0.97836
27,0.97543,0.96488
28,0.98043,0.95443
29,0.9749,0.96192
30,0.96391,0.96892
31,0.98092,0.9577
32,0.96806,0.97168
33,0.95648,0.98067
34,0.97243,0.95581
35,0.96724,0.9733
36,0.97328,0.96661
37,0.95387,0.97075
38,0.96567,0.95748
39,0.96778,0.95949
40,0.9823,0.94801
41,0.97485,0.94425
42,0.96423,0.9724
43,0.98099,0.95878
44,0.96899,0.96107
45,0.98246,0.95971
46,0.98031,0.95142
47,0.95483,0.96491
48,0.98352,0.97191
49,0.9666,0.96941
50,0.96894,0.96052
51,0.96266,0.97122
52,0.97831,0.95259
53,0.97222,0.98065
54,0.98101,0.95579
55,0.96607,0.9743
56,0.9575,0.97342
57,0.96115,0.9698
58,0.97479,0.9553
59,0.96241,0.98415
60,0.97272,0.97965
61,0.96952,0.95138
62,0.96679,0.96787
63,0.9728,0.95441
64,0.9703,0.95925
65,0.98004,0.96461
66,0.97327,0.95727
67,0.97519,0.96527
68,0.97937,0.95494
69,0.97392,0.97726
70,0.97289,0.95623
71,0.95611,0.96853
72,0.9749,0.96419
73,0.96209,0.96946
74,0.95854,0.98059
75,0.94889,0.98675
76,0.9691,0.94424
77,0.9736,0.9698
78,0.98339,0.92882
79,0.97184,0.97113
80,0.96775,0.977
81,0.97786,0.95059
82,0.96059,0.9683
83,0.96839,0.96872
84,0.96821,0.97764
85,0.97595,0.96672
86,0.96055,0.97778
87,0.97013,0.94699
88,0.96453,0.961
89,0.9697,0.96961
90,0.96418,0.97538
91,0.97005,0.97726
92,0.96977,0.96633
93,0.982,0.97248
94,0.97403,0.96484
95,0.97864,0.9462
96,0.96743,0.96786
97,0.96558,0.96874
98,0.96394,0.96905
99,0.96069,0.97273
100,0.96518,0.97126
101,0.97412,0.96077
102,0.96794,0.95405
103,0.97781,0.96219
104,0.97165,0.95901
105,0.96946,0.96542
106,0.98187,0.95011
107,0.95288,0.97706
108,0.97625,0.97344
109,0.97715,0.95776
110,0.96961,0.96522
111,0.95961,0.9738
112,0.96709,0.97343
113,0.98353,0.9616
114,0.97453,0.97057
115,0.97214,0.97183
116,0.97082,0.95745
117,0.95737,0.98209
118,0.95622,0.97242
119,0.96993,0.97436
120,0.96811,0.97656
121,0.98002,0.96715
122,0.97202,0.96914
123,0.97147,0.95822
124,0.96688,0.96797
125,0.97012,0.97506
126,0.967,0.9626
127,0.95705,0.95868
128,0.97746,0.9468
129,0.96785,0.95999
130,0.96257,0.96736
131,0.98065,0.93841
132,0.98101,0.97067
133,0.9703,0.96426
134,0.96909,0.96786
135,0.97506,0.95905
136,0.97873,0.97214
137,0.97116,0.98056
138,0.97315,0.9683
139,0.97517,0.95743
140,0.96207,0.98274
141,0.96451,0.95891
142,0.97817,0.96383
143,0.96894,0.96811
144,0.96895,0.95768
145,0.96404,0.98494
146,0.97115,0.9706
147,0.97399,0.96543
148,0.98103,0.96307
149,0.97034,0.96021
